country,average_score,number_of_universities
Singapore,51.365,2
Israel,51.1871428571429,7
Switzerland,50.3966666666667,9
USA,50.1102183406114,229
Netherlands,48.2384615384615,13
Denmark,48.054,5
United Kingdom,48.0046153846154,65
Sweden,47.5454545454545,11
Russia,46.842,5
Canada,46.7845454545455,33
Belgium,46.766,10
Norway,46.524,5
Japan,46.2652702702703,74
Germany,46.2389090909091,55
South Africa,46.098,5
France,46.085306122449,49
Hong Kong,46.0333333333333,6
South Korea,45.8791666666667,36
Australia,45.8122222222222,27
Finland,45.4488888888889,9
Italy,45.2521276595745,47
Ireland,45.11625,8
Austria,44.9875,12
Portugal,44.9542857142857,7
Taiwan,44.9538095238095,21
New Zealand,44.925,6
Mexico,44.92,2
Thailand,44.92,3
Iceland,44.91,1
China,44.8744578313253,83
Spain,44.845,40
Greece,44.7242857142857,7
Malaysia,44.7066666666667,3
Estonia,44.68,1
Czech Republic,44.68,5
Chile,44.6725,4
Brazil,44.6327777777778,18
Croatia,44.62,1
Argentina,44.5933333333333,3
India,44.54875,16
Slovenia,44.49,2
Hungary,44.4116666666667,6
Slovak Republic,44.38,1
Lebanon,44.38,1
Poland,44.3411111111111,9
Turkey,44.334,10
Serbia,44.33,1
Saudi Arabia,44.2925,4
Lithuania,44.25,1
Colombia,44.245,2
Bulgaria,44.19,1
Iran,44.16375,8
Uruguay,44.16,1
Uganda,44.16,1
Cyprus,44.1,1
Egypt,44.095,4
United Arab Emirates,44.08,1
Puerto Rico,44.06,1
Romania,44.04,2
